タイムスタンプ,02　新規登録ですか、修正依頼ですか,店舗名,04-1　店舗住所・区名＜公開＞,04-2　店舗住所・区以降＜公開＞,04-3　店舗住所・建物名称など＜公開＞,4_4_lat,4_4_long,04-4　【任意】店舗の正確な位置（緯度・経度）が分かる方は入力をお願いします＜公開＞,05　店舗の電話番号（ハイフンなし）＜公開＞,06　最寄り駅＜公開＞,07　提供の条件（提供時間・曜日）＜公開＞,定休日,09　店舗　ウェブサイトURL＜公開＞,10　店舗　SNS＜公開＞,ジャンル,12　テイクアウト（持ち帰り）はできますか＜公開＞,13-1　デリバリー（宅配・出前）はできますか＜公開＞,13-2　デリバリー（宅配・出前）の配達・配送料＜公開＞,14　店舗からのメッセージ＜公開＞,15-1a　【メニュー１】メニュー名＜公開＞,15-1b　【メニュー１】税込価格＜公開＞,15-2a　【メニュー２】メニュー名＜公開＞,15-2b　【メニュー２】税込価格＜公開＞,15-3a　【メニュー３】メニュー名＜公開＞,15-3b　【メニュー３】税込価格＜公開＞,15-4　【メニュー4以降】メニュー名、税込価格＜公開＞,店舗ID,変更フラグ
5/11/2020 13:50:05,新規登録,そば処　利喜庵,神奈川区,反町1丁目5-13,,35.4745839,139.6272219,"35.4745839,139.6272219",453202626,東急東横線　反町駅,昼の部　11:00~14:00　夜の部　17:00~20:00　ラストオーダー  19:30　日祝休み,日曜日,,,そば・うどん,はい,いいえ,,,,,,,,,,581,
4/23/2020 13:43:14,新規登録,NAGI COFFEE ,神奈川区,松本町3-22-8,ロイヤルドレイク103,35.475934,139.621518,"35.475934, 139.621518",455489175,反町駅、三ツ沢下町駅,テイクアウト営業7:30?17:00、デリバリーUber Eats10：00?16：30、火曜日定休,火曜日,https://www.nagicoffee.com/,https://www.facebook.com/nagicoffee/,具沢山サンドウィッチ、自家焙煎コーヒー、コーヒー豆,はい,はい,Uber eats配送規定による ※テイクアウト価格とは異なります,野菜がたっぷり食べられるサラダサンドウィッチのNAGI COFFEEです。小型焙煎機による長時間焙煎で丁寧に焼きあげた自家焙煎コーヒーもテイクアウトできます。店内では昔ながらのアルコールランプを使い、サイフォンで抽出しています。もちろんコーヒー豆販売もしていますよ。,アボカド野菜サンドハーフ(テイクアウト),490,ハム野菜サンドハーフ(テイクアウト),490,ドリンク  ナギブレンド(テイクアウト),350,コーヒー豆  ナギブレンド(200g)980円,74,
4/28/2020 14:32:30,新規登録,ぐるめ亭西谷店,旭区,西川島町1-10,,35.479195,139.559794,"35.479195, 139.559794",453726768,相鉄線西谷駅,お持ち帰り寿司・テイクアウト　GW期間中11：00～20：00　左記以外11：00～21：00,定休日なし,https://gurume-tei.com/,https://twitter.com/gurumetei_staff,寿司,はい,はい,宅配、配達料無料　詳しくは　https://gurumetei-demaebito.com/,"毎日魚河岸で新鮮鮮魚を目利き仕入れ。新鮮な魚介が食べられる人気回転寿司。
持ち帰り寿司ももちろん美味しい！地元の人に愛され続け20年！",春のにぎわい盛り1人前（4人前まであります）,1980,春の旬鮮盛り1人前（5人前まであります）,1780,創作寿司ぐるめ盛り1人前（5人前まであります）,1680,,255,
4/27/2020 11:58:35,新規登録,末廣園　有限会社末廣園鈴木商会,神奈川区,西神奈川3-9-1,,35.4864,139.6264,"35.4864,139.6264",454322492,東急東横線　白楽、東白楽,テイクアウト　火曜?日曜　11時半?14時　17時?19時45分,月曜日,https://suehiroen.com,https://www.instagram.com/suehiroen/,和食,はい,いいえ,,"六角橋で創業63年の和食店です。有名旅館などで修行した店主が市場で吟味した海鮮丼、愛知県産国産鰻を使った鰻重、大洗産の穴子天丼など色々取り揃えております。お値段は
756円?とてもリーズナブルです。",海鮮丼,1080,穴子天丼,864,鰻重　国産鰻1匹使用,3240,鰻丼　国産鰻半分使用　1944  カツ丼　756 天丼　864  牛スジカレー　864  その他一品料理も多数ご用意しております。,213,
4/27/2020 9:37:04,新規登録,TANOJI,神奈川区,子安台1-17-14,,35.4931785,139.6586906,"35.4931785,139.6586906",454230301,JR新子安　京急子安,デリバリー17時まで,不定休,http://tanoji.co.jp,,お弁当,はい,はい,,"ご自宅でのお祝い事、大切な友人やお客様へのギフトなど冠婚葬祭時のお弁当、オードブルのデリバリーを致します。
オシャレで洗練されたパッケージや女性むけに作られた商品の数々は
特別な日を演出するのにオススメです。",大山鶏の照り焼き重弁当　?葉わさびの香りで?　,1620,国産牛すき焼き重弁当,1944,BOWL弁当,896,,206,
5/10/2020 23:59:42,新規登録,Maggie's Kitchen マギーズキッチン,鶴見区,岸谷1-22-16,,35.4960478,139.6658864,"35.4960478,139.6658864",457100328,生麦,,"土曜日, 日曜日",https://maggieskitchen.owst.jp/ ,https://www.facebook.com/MaggiesKitchenYokohama/,中華,はい,いいえ,,,,,,,,,,574,
4/28/2020 14:19:45,新規登録,ぐるめ亭　鶴見岸谷店,鶴見区,岸谷2-21-7,,35.498603,139.662176,"35.498603, 139.662176",455802468,京急生麦駅,GW期間中　11：00～20：00　左記以外11：00～21：00,定休日なし,https://gurume-tei.com/,https://twitter.com/gurumetei_staff,寿司,はい,はい,配送料無料です。詳しくは　https://gurumetei-demaebito.com/,"毎日魚河岸で新鮮鮮魚を目利き仕入れ。新鮮な魚介が食べられる人気回転寿司。
持ち帰り寿司ももちろん美味しい！地元の人に愛され続け20年！出前宅配もやっています。",春のにぎわい盛り　1人前（4人前まであります）,1980,春の旬鮮盛り1人前（5人前まであります）,1680,ぐるめ盛り　1人前（5人前まであります）,1680,,251,
5/13/2020 17:23:06,新規登録,イタリアンキッチンNavita,鶴見区,下野谷町2-78-8,クレッセントワタナベ１階,35.498822,139.680971,"35.498822,139.680971",458345995,鶴見小野,テイクアウトのみ　水曜～日曜（16:30～19:30）、土日祝日（11:30～13:00）,"月曜日, 火曜日",https://www.navita2019.jp/,https://www.instagram.com/_navita0819/,ピザ,はい,いいえ,,"ピザやペンネの他、日替り数量限定の一品料理やおつまみセットもございます！
最新情報はインスタグラムをご覧ください！",マルゲリータピザ,880,ペンネ　ミートソース,980,前菜おつまみセット,1000,その他、ピザ４種類（￥880~980）ペンネ２種類（￥880~950）単品メニュー（￥660~）,643,
5/8/2020 21:19:10,新規登録,新鮮地鶏と旨い酒　とりこ,鶴見区,豊岡町　２０－１１,エスタシオン　１Ｆ,35.510241,139.674803,"35.510241,139.674803",457177897,JR鶴見駅,テイクアウトは15時～20時まで。,不定休,https://toriko-tsurumi.gorp.jp,https://www.instagram.com/toriko_tsurumi,焼鶏・地鶏料理,はい,いいえ,,産地直送の新鮮な鹿児島県産地鶏が自慢です！お店では焼肉スタイルで熱々でジューシーな地鶏を召し上がれます。お客様のご要望にお応えして、ついにお持ち帰りを始めました！オーダーいただいてから焼き上げますので焼きたての美味しい焼鳥がお楽しみいただけます！店主お手製の「白レバーのパテ」も大人気！お時間指定のご予約も承っております。お気軽にお問い合わせください！,地鶏焼盛り,1000,白レバーのパテ,560,地鶏のコロッケ,620,その他店内メニューもテイクアウトＯＫ！,561,
4/30/2020 9:56:44,新規登録,とろけるハンバーグ福よし中山駅前店,緑区,寺山町89-5,センチュリーモア1階,35.513667,139.539805,"35.513667,139539805",455076889,中山駅,テイクアウト　11：00-15：00　17：00-20：00（緊急事態宣言中）通常時は22：00,定休日なし,https://fukuyoshi-nakayamaekimaeten.owst.jp/,https://www.facebook.com/torokeru.nkym/,洋食,はい,いいえ,,素材にもこだわった「とろけるハンバーグ」は、小麦粉・卵・パン粉などの「つなぎ」を一切つかわず、国産牛の赤身を粗挽きすることで、お肉の荒々しさと食べる満足感を出し、黒毛和牛脂を細挽きにすることで、滑らかな舌触りと甘さ（旨味）を引き出しています。アレルギーを持っている子供も安心して食べれるのも嬉しいポイントの1つです。,ハンバーグ弁当,1080,ハラミステーキ弁当,1296,,,,290,
